split,label,class_name,count,percentage_within_split
test,1,surprise,329,10.723598435462842
test,2,fear,74,2.411994784876141
test,3,disgust,160,5.215123859191656
test,4,happiness,1185,38.6245110821382
test,5,sadness,478,15.580182529335072
test,6,anger,162,5.280312907431552
test,7,neutral,680,22.164276401564535
train,1,surprise,1290,10.512590660907831
train,2,fear,281,2.2899519191589928
train,3,disgust,717,5.84304457664412
train,4,happiness,4772,38.888436150273
train,5,sadness,1982,16.151902860402576
train,6,anger,705,5.74525303561242
train,7,neutral,2524,20.56882079700106
