,precision,recall,f1-score,support
surprise,0.105,0.19148936170212766,0.1356297093649085,329.0
fear,0.0,0.0,0.0,74.0
disgust,0.024875621890547265,0.03125,0.027700831024930747,160.0
happiness,0.6818181818181818,0.012658227848101266,0.024855012427506214,1185.0
sadness,0.26813880126182965,0.17782426778242677,0.2138364779874214,478.0
anger,0.09811320754716982,0.16049382716049382,0.12177985948477751,162.0
neutral,0.21363910681955342,0.5205882352941177,0.3029525032092426,680.0
accuracy,0.17861799217731422,0.17861799217731422,0.17861799217731422,0.17861799217731422
macro avg,0.1987978456196117,0.15632913139818103,0.11810777049982671,3068.0
weighted avg,0.3702147732138609,0.17861799217731422,0.1324828464695062,3068.0
