,precision,recall,f1-score,support
surprise,0.10009532888465204,0.3191489361702128,0.15239477503628446,329.0
fear,0.026785714285714284,0.04054054054054054,0.03225806451612903,74.0
disgust,0.04247104247104247,0.06875,0.05250596658711217,160.0
happiness,0.4494949494949495,0.22531645569620254,0.30016863406408095,1185.0
sadness,0.21019108280254778,0.06903765690376569,0.10393700787401575,478.0
anger,0.05,0.012345679012345678,0.019801980198019802,162.0
neutral,0.25670945157526254,0.3235294117647059,0.28627195836044245,680.0
accuracy,0.2089308996088657,0.2089308996088657,0.2089308996088657,0.2089308996088657
macro avg,0.1622496527877384,0.1512383828696819,0.13533405523372635,3068.0
weighted avg,0.27949613841521237,0.2089308996088657,0.21648647523532094,3068.0
