,precision,recall,f1-score,support
surprise,0.20150862068965517,0.5683890577507599,0.2975338106603023,329.0
fear,0.1784037558685446,0.5135135135135135,0.26480836236933797,74.0
disgust,0.07881773399014778,0.1,0.0881542699724518,160.0
happiness,0.6473684210526316,0.31139240506329113,0.4205128205128205,1185.0
sadness,0.28888888888888886,0.16317991631799164,0.20855614973262032,478.0
anger,0.234375,0.09259259259259259,0.13274336283185842,162.0
neutral,0.325609756097561,0.3926470588235294,0.356,680.0
accuracy,0.3161668839634941,0.3161668839634941,0.3161668839634941,0.3161668839634941
macro avg,0.27928173951248986,0.3059592205802398,0.25261553943991305,3068.0
weighted avg,0.4096195904700754,0.3161668839634941,0.32371938799765604,3068.0
