,precision,recall,f1-score,support
surprise,0.596875,0.5805471124620061,0.588597842835131,329.0
fear,0.21465968586387435,0.5540540540540541,0.30943396226415093,74.0
disgust,0.18055555555555555,0.40625,0.25,160.0
happiness,0.8182683158896289,0.7257383966244726,0.7692307692307693,1185.0
sadness,0.5347043701799485,0.4351464435146444,0.4798154555940023,478.0
anger,0.4589041095890411,0.41358024691358025,0.43506493506493504,162.0
neutral,0.6252045826513911,0.5617647058823529,0.5917893106119287,680.0
accuracy,0.5912646675358539,0.5912646675358539,0.5912646675358539,0.5912646675358539
macro avg,0.4898816599613485,0.5252972799215873,0.48913318222870245,3068.0
weighted avg,0.6407639523710599,0.5912646675358539,0.6096265656810076,3068.0
