,precision,recall,f1-score,support
surprise,0.43425076452599387,0.4316109422492401,0.4329268292682927,329.0
fear,0.32926829268292684,0.36486486486486486,0.34615384615384615,74.0
disgust,0.08319467554076539,0.3125,0.1314060446780552,160.0
happiness,0.8544600938967136,0.15358649789029535,0.2603719599427754,1185.0
sadness,0.3438735177865613,0.36401673640167365,0.35365853658536583,478.0
anger,0.16333333333333333,0.6049382716049383,0.2572178477690289,162.0
neutral,0.4208389715832206,0.4573529411764706,0.4383368569415081,680.0
accuracy,0.32073011734028684,0.32073011734028684,0.32073011734028684,0.32073011734028684
macro avg,0.37560280704993076,0.3841243220267833,0.3171531316198389,3068.0
weighted avg,0.5443555269622825,0.32073011734028684,0.32803167720728277,3068.0
