,precision,recall,f1-score,support
surprise,0.1729957805907173,0.12462006079027356,0.14487632508833923,329.0
fear,0.15416666666666667,0.5,0.2356687898089172,74.0
disgust,0.06261510128913444,0.2125,0.09672830725462304,160.0
happiness,0.532258064516129,0.3620253164556962,0.430939226519337,1185.0
sadness,0.19391634980988592,0.10669456066945607,0.13765182186234817,478.0
anger,0.10416666666666667,0.4012345679012346,0.16539440203562342,162.0
neutral,0.3126760563380282,0.16323529411764706,0.2144927536231884,680.0
accuracy,0.2503259452411995,0.2503259452411995,0.2503259452411995,0.2503259452411995
macro avg,0.21897066941103263,0.26718711427632963,0.20367880374176808,3068.0
weighted avg,0.33613262755037104,0.2503259452411995,0.2704334584191066,3068.0
