,precision,recall,f1-score,support
surprise,0.7420212765957447,0.8480243161094225,0.7914893617021277,329.0
fear,0.44339622641509435,0.6351351351351351,0.5222222222222223,74.0
disgust,0.42105263157894735,0.5,0.45714285714285713,160.0
happiness,0.971307120085016,0.7713080168776372,0.8598306679209784,1185.0
sadness,0.6822262118491921,0.7949790794979079,0.7342995169082126,478.0
anger,0.6446700507614214,0.7839506172839507,0.7075208913649025,162.0
neutral,0.7104136947218259,0.7323529411764705,0.721216509775525,680.0
accuracy,0.7578226857887875,0.7578226857887875,0.7578226857887875,0.7578226857887875
macro avg,0.6592981731438917,0.723678586582932,0.6848174324338322,3068.0
weighted avg,0.7851778582158403,0.7578226857887875,0.7650350140822223,3068.0
