,precision,recall,f1-score,support
surprise,0.6527093596059114,0.8054711246200608,0.7210884353741497,329.0
fear,0.4533333333333333,0.4594594594594595,0.4563758389261745,74.0
disgust,0.25,0.2375,0.24358974358974358,160.0
happiness,0.8900990099009901,0.7586497890295358,0.8191343963553531,1185.0
sadness,0.5967413441955194,0.6129707112970711,0.6047471620227038,478.0
anger,0.4784688995215311,0.6172839506172839,0.5390835579514824,162.0
neutral,0.6220689655172413,0.663235294117647,0.6419928825622776,680.0
accuracy,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6779661016949152
macro avg,0.5633458445820752,0.5935100470201513,0.5751445738259836,3068.0
weighted avg,0.6938776380408589,0.6779661016949152,0.6824036394887307,3068.0
