,precision,recall,f1-score,support
surprise,0.6481994459833795,0.7112462006079028,0.6782608695652174,329.0
fear,0.3111111111111111,0.5675675675675675,0.4019138755980861,74.0
disgust,0.19469026548672566,0.55,0.2875816993464052,160.0
happiness,0.9459459459459459,0.5907172995780591,0.7272727272727273,1185.0
sadness,0.5321739130434783,0.6401673640167364,0.5811965811965812,478.0
anger,0.40893470790378006,0.7345679012345679,0.5253863134657837,162.0
neutral,0.7023346303501945,0.5308823529411765,0.6046901172529313,680.0
accuracy,0.6029986962190352,0.6029986962190352,0.6029986962190352,0.6029986962190352
macro avg,0.534770002832088,0.617878383706573,0.5437574548139618,3068.0
weighted avg,0.7127087125579868,0.6029986962190352,0.6306501091656577,3068.0
