,precision,recall,f1-score,support
surprise,0.7017045454545454,0.7507598784194529,0.7254038179148311,329.0
fear,0.37755102040816324,0.5,0.43023255813953487,74.0
disgust,0.29044117647058826,0.49375,0.36574074074074076,160.0
happiness,0.9040835707502374,0.8033755274261604,0.8507596067917784,1185.0
sadness,0.6284501061571125,0.6192468619246861,0.6238145416227608,478.0
anger,0.5523809523809524,0.7160493827160493,0.6236559139784946,162.0
neutral,0.6928104575163399,0.6235294117647059,0.6563467492260062,680.0
accuracy,0.7011082138200783,0.7011082138200783,0.7011082138200783,0.7011082138200783
macro avg,0.5924888327339913,0.643815866035865,0.610850561202021,3068.0
weighted avg,0.7293367557623859,0.7011082138200783,0.7114390861789313,3068.0
