,precision,recall,f1-score,support
surprise,0.4018181818181818,0.6717325227963525,0.502844141069397,329.0
fear,0.21025641025641026,0.5540540540540541,0.3048327137546468,74.0
disgust,0.12779552715654952,0.25,0.16913319238900634,160.0
happiness,0.8496993987975952,0.35780590717299576,0.503562945368171,1185.0
sadness,0.4357142857142857,0.5104602510460251,0.4701348747591522,478.0
anger,0.24482758620689654,0.4382716049382716,0.3141592920353982,162.0
neutral,0.49016641452344933,0.4764705882352941,0.48322147651006714,680.0
accuracy,0.4449152542372881,0.4449152542372881,0.4449152542372881,0.4449152542372881
macro avg,0.3943254006390526,0.4655421326061419,0.39255551941226274,3068.0
weighted avg,0.5724722579889979,0.4449152542372881,0.46153377566644516,3068.0
