,precision,recall,f1-score,support
surprise,0.4719387755102041,0.5623100303951368,0.5131761442441054,329.0
fear,0.16319444444444445,0.6351351351351351,0.2596685082872928,74.0
disgust,0.15789473684210525,0.24375,0.19164619164619165,160.0
happiness,0.8189910979228486,0.46582278481012657,0.5938676707907478,1185.0
sadness,0.4897959183673469,0.3514644351464435,0.4092570036540804,478.0
anger,0.22875816993464052,0.43209876543209874,0.29914529914529914,162.0
neutral,0.47555012224938875,0.5720588235294117,0.5193591455273698,680.0
accuracy,0.4726205997392438,0.4726205997392438,0.4726205997392438,0.4726205997392438
macro avg,0.40087475218156843,0.4660914249211932,0.39801713761358387,3068.0
weighted avg,0.57290326290862,0.4726205997392438,0.49533820299439296,3068.0
