,precision,recall,f1-score,support
surprise,0.6265060240963856,0.790273556231003,0.6989247311827957,329.0
fear,0.3032258064516129,0.6351351351351351,0.4104803493449782,74.0
disgust,0.3588709677419355,0.55625,0.4362745098039216,160.0
happiness,0.9743589743589743,0.6092827004219409,0.7497403946002077,1185.0
sadness,0.5754884547069272,0.6778242677824268,0.622478386167147,478.0
anger,0.5609756097560976,0.7098765432098766,0.6267029972752044,162.0
neutral,0.6558704453441295,0.7147058823529412,0.6840253342716397,680.0
accuracy,0.6659061277705346,0.6659061277705346,0.6659061277705346,0.6659061277705346
macro avg,0.579328040350866,0.670478297876189,0.6040895289494135,3068.0
weighted avg,0.734207093879932,0.6659061277705346,0.6788708777808787,3068.0
