,precision,recall,f1-score,support
surprise,0.6483790523690773,0.790273556231003,0.7123287671232876,329.0
fear,0.4421052631578947,0.5675675675675675,0.4970414201183432,74.0
disgust,0.3070539419087137,0.4625,0.3690773067331671,160.0
happiness,0.9197969543147209,0.7645569620253164,0.8350230414746543,1185.0
sadness,0.6206225680933852,0.6673640167364017,0.6431451612903226,478.0
anger,0.5675675675675675,0.6481481481481481,0.6051873198847262,162.0
neutral,0.6831530139103554,0.65,0.6661642803315749,680.0
accuracy,0.7001303780964798,0.7001303780964798,0.7001303780964798,0.7001303780964798
macro avg,0.5983826230459593,0.6500586072440625,0.6182810424222965,3068.0
weighted avg,0.729552836448851,0.7001303780964798,0.7099567621384165,3068.0
