,precision,recall,f1-score,support
surprise,0.2222222222222222,0.2735562310030395,0.2452316076294278,329.0
fear,0.5306122448979592,0.35135135135135137,0.42276422764227645,74.0
disgust,0.08208955223880597,0.06875,0.07482993197278912,160.0
happiness,0.6990909090909091,0.6489451476793249,0.6730853391684901,1185.0
sadness,0.27450980392156865,0.029288702928870293,0.052930056710775046,478.0
anger,0.19637462235649547,0.4012345679012346,0.26369168356997974,162.0
neutral,0.45791583166332667,0.6720588235294118,0.5446960667461264,680.0
accuracy,0.4667535853976532,0.4667535853976532,0.4667535853976532,0.4667535853976532
macro avg,0.35183074091304095,0.3493121177704617,0.32531841620569496,3068.0
weighted avg,0.46556212956056736,0.4667535853976532,0.4432713862514245,3068.0
