,precision,recall,f1-score,support
surprise,0.7438271604938271,0.7325227963525835,0.7381316998468607,329.0
fear,0.37735849056603776,0.5405405405405406,0.4444444444444444,74.0
disgust,0.1934156378600823,0.5875,0.29102167182662536,160.0
happiness,0.9002057613168725,0.7383966244725738,0.8113120074177098,1185.0
sadness,0.5901639344262295,0.5271966527196653,0.5569060773480663,478.0
anger,0.48258706467661694,0.5987654320987654,0.5344352617079889,162.0
neutral,0.6811594202898551,0.5529411764705883,0.6103896103896104,680.0
accuracy,0.64374185136897,0.64374185136897,0.64374185136897,0.64374185136897
macro avg,0.566959638518503,0.6111233175221024,0.5695201104259009,3068.0
weighted avg,0.7150586258972991,0.64374185136897,0.6686919709435322,3068.0
