,precision,recall,f1-score,support
surprise,0.35185185185185186,0.5197568389057751,0.4196319018404908,329.0
fear,0.14335664335664336,0.5540540540540541,0.22777777777777777,74.0
disgust,0.15384615384615385,0.1875,0.16901408450704225,160.0
happiness,0.8856209150326797,0.22869198312236286,0.36351441985244803,1185.0
sadness,0.3238255033557047,0.40376569037656906,0.35940409683426444,478.0
anger,0.18478260869565216,0.5246913580246914,0.2733118971061093,162.0
neutral,0.43437077131258456,0.47205882352941175,0.452431289640592,680.0
accuracy,0.3624511082138201,0.3624511082138201,0.3624511082138201,0.3624511082138201
macro avg,0.35395063535018145,0.41293124971612344,0.3235836382226749,3068.0
weighted avg,0.5477637931884098,0.3624511082138201,0.37041924865740733,3068.0
