,precision,recall,f1-score,support
surprise,0.42032332563510394,0.5531914893617021,0.4776902887139108,329.0
fear,0.13937282229965156,0.5405405405405406,0.22160664819944598,74.0
disgust,0.14446952595936793,0.4,0.21227197346600332,160.0
happiness,0.803072625698324,0.48523206751054854,0.6049447659126775,1185.0
sadness,0.523972602739726,0.3200836820083682,0.3974025974025974,478.0
anger,0.23529411764705882,0.4444444444444444,0.3076923076923077,162.0
neutral,0.5296108291032149,0.4602941176470588,0.4925255704169945,680.0
accuracy,0.4559973924380704,0.4559973924380704,0.4559973924380704,0.4559973924380704
macro avg,0.39944512129749243,0.4576837630732376,0.38773345025770534,3068.0
weighted avg,0.5775971523952852,0.4559973924380704,0.48862582907525126,3068.0
