,precision,recall,f1-score,support
surprise,0.5606796116504854,0.7021276595744681,0.6234817813765182,329.0
fear,0.29457364341085274,0.5135135135135135,0.37438423645320196,74.0
disgust,0.27111111111111114,0.38125,0.3168831168831169,160.0
happiness,0.945480631276901,0.5561181434599156,0.7003188097768331,1185.0
sadness,0.4873015873015873,0.6422594142259415,0.5541516245487365,478.0
anger,0.5,0.691358024691358,0.5803108808290155,162.0
neutral,0.5605858854860186,0.6191176470588236,0.5883997204751922,680.0
accuracy,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461
macro avg,0.5171046386052794,0.5865349146462887,0.5339900243346591,3068.0
weighted avg,0.6731300288614633,0.5961538461538461,0.6103049794683783,3068.0
