,precision,recall,f1-score,support
surprise,0.54739336492891,0.7021276595744681,0.6151797603195739,329.0
fear,0.36363636363636365,0.43243243243243246,0.3950617283950617,74.0
disgust,0.21993127147766323,0.4,0.2838137472283814,160.0
happiness,0.8489525909592062,0.6497890295358649,0.7361376673040153,1185.0
sadness,0.5198412698412699,0.5481171548117155,0.5336048879837068,478.0
anger,0.45064377682403434,0.6481481481481481,0.5316455696202531,162.0
neutral,0.5762439807383628,0.5279411764705882,0.5510360706062931,680.0
accuracy,0.5941981747066493,0.5941981747066493,0.5941981747066493,0.5941981747066493
macro avg,0.5038060883436871,0.5583650858533168,0.5209256330653265,3068.0
weighted avg,0.6393525610904481,0.5941981747066493,0.6079714117031114,3068.0
