,precision,recall,f1-score,support
surprise,0.7942386831275721,0.5866261398176292,0.6748251748251748,329.0
fear,0.3055555555555556,0.7432432432432432,0.4330708661417323,74.0
disgust,0.2808988764044944,0.46875,0.351288056206089,160.0
happiness,0.9381338742393509,0.7805907172995781,0.852141870105942,1185.0
sadness,0.5771704180064309,0.7510460251046025,0.6527272727272727,478.0
anger,0.47183098591549294,0.8271604938271605,0.600896860986547,162.0
neutral,0.7674897119341564,0.5485294117647059,0.6397941680960549,680.0
accuracy,0.6890482398956975,0.6890482398956975,0.6890482398956975,0.6890482398956975
macro avg,0.5907597293118647,0.6722780044367028,0.6006777527269732,3068.0
weighted avg,0.7544866957949942,0.6890482398956975,0.7054980097227055,3068.0
