,precision,recall,f1-score,support
surprise,0.7434402332361516,0.7750759878419453,0.7589285714285714,329.0
fear,0.4925373134328358,0.44594594594594594,0.46808510638297873,74.0
disgust,0.3387096774193548,0.525,0.4117647058823529,160.0
happiness,0.923828125,0.7983122362869198,0.8564961521050249,1185.0
sadness,0.6070763500931099,0.6820083682008368,0.6423645320197044,478.0
anger,0.559322033898305,0.6111111111111112,0.584070796460177,162.0
neutral,0.6994047619047619,0.6911764705882353,0.6952662721893491,680.0
accuracy,0.7213168187744459,0.7213168187744459,0.7213168187744459,0.7213168187744459
macro avg,0.6234740707120742,0.6469471599964277,0.6309965909240226,3068.0
weighted avg,0.7452273068357531,0.7213168187744459,0.729989201916133,3068.0
