,precision,recall,f1-score,support
surprise,0.3284403669724771,0.5440729483282675,0.4096109839816934,329.0
fear,0.13427561837455831,0.5135135135135135,0.21288515406162464,74.0
disgust,0.13138686131386862,0.225,0.16589861751152074,160.0
happiness,0.8076923076923077,0.35443037974683544,0.49266862170087977,1185.0
sadness,0.3614457831325301,0.37656903765690375,0.36885245901639346,478.0
anger,0.22942643391521197,0.5679012345679012,0.3268206039076377,162.0
neutral,0.46617915904936014,0.375,0.4156479217603912,680.0
accuracy,0.39113428943937417,0.39113428943937417,0.39113428943937417,0.39113428943937417
macro avg,0.35126379006433056,0.4223553019733459,0.34176919456287724,3068.0
weighted avg,0.5290321231109664,0.39113428943937417,0.41485287180178054,3068.0
