,precision,recall,f1-score,support
surprise,0.36548223350253806,0.4376899696048632,0.3983402489626556,329.0
fear,0.14232209737827714,0.5135135135135135,0.22287390029325513,74.0
disgust,0.13852813852813853,0.4,0.2057877813504823,160.0
happiness,0.7620865139949109,0.5054852320675105,0.6078132927447996,1185.0
sadness,0.4498567335243553,0.3284518828451883,0.37968561064087064,478.0
anger,0.23863636363636365,0.5185185185185185,0.32684824902723736,162.0
neutral,0.4781659388646288,0.3220588235294118,0.38488576449912126,680.0
accuracy,0.4253585397653194,0.4253585397653194,0.4253585397653194,0.4253585397653194
macro avg,0.3678682884898875,0.4322454200112866,0.3608906925026317,3068.0
weighted avg,0.532873519960391,0.4253585397653194,0.4553105819873631,3068.0
