,precision,recall,f1-score,support
surprise,0.8588957055214724,0.851063829787234,0.8549618320610687,329.0
fear,0.71875,0.6216216216216216,0.6666666666666666,74.0
disgust,0.5935828877005348,0.69375,0.6397694524495677,160.0
happiness,0.9515989628349178,0.9291139240506329,0.9402220324508966,1185.0
sadness,0.796812749003984,0.8368200836820083,0.8163265306122449,478.0
anger,0.7914110429447853,0.7962962962962963,0.7938461538461539,162.0
neutral,0.8370702541106129,0.8235294117647058,0.8302446256486287,680.0
accuracy,0.85625814863103,0.85625814863103,0.85625814863103,0.85625814863103
macro avg,0.7925888003023297,0.7931707381717856,0.7917196133907467,3068.0
weighted avg,0.8594116935737302,0.85625814863103,0.8574040094277918,3068.0
