,precision,recall,f1-score,support
surprise,0.7717391304347826,0.8632218844984803,0.8149210903873745,329.0
fear,0.6571428571428571,0.6216216216216216,0.6388888888888888,74.0
disgust,0.6036585365853658,0.61875,0.6111111111111112,160.0
happiness,0.9561787905346187,0.920675105485232,0.938091143594153,1185.0
sadness,0.796078431372549,0.8493723849372385,0.8218623481781376,478.0
anger,0.7888198757763976,0.7839506172839507,0.7863777089783281,162.0
neutral,0.8440366972477065,0.8117647058823529,0.8275862068965517,680.0
accuracy,0.8490873533246415,0.8490873533246415,0.8490873533246415,0.8490873533246415
macro avg,0.7739506170134681,0.781336617101268,0.7769769282906492,3068.0
weighted avg,0.8521666369553755,0.8490873533246415,0.8500015030721535,3068.0
