,precision,recall,f1-score,support
surprise,0.6944444444444444,0.7598784194528876,0.7256894049346879,329.0
fear,0.40229885057471265,0.47297297297297297,0.43478260869565216,74.0
disgust,0.43870967741935485,0.425,0.43174603174603177,160.0
happiness,0.9679075738125802,0.6362869198312237,0.7678207739307535,1185.0
sadness,0.5498489425981873,0.7615062761506276,0.6385964912280702,478.0
anger,0.46963562753036436,0.7160493827160493,0.5672371638141809,162.0
neutral,0.6388174807197944,0.7308823529411764,0.6817558299039781,680.0
accuracy,0.6792698826597132,0.6792698826597132,0.6792698826597132,0.6792698826597132
macro avg,0.5945232281570626,0.643225189152134,0.6068040434647649,3068.0
weighted avg,0.7329566537259022,0.6792698826597132,0.6879427044113163,3068.0
