,precision,recall,f1-score,support
surprise,0.5885416666666666,0.6869300911854104,0.6339410939691444,329.0
fear,0.3763440860215054,0.47297297297297297,0.41916167664670656,74.0
disgust,0.18620689655172415,0.3375,0.24,160.0
happiness,0.8388473852721452,0.6632911392405063,0.7408105560791706,1185.0
sadness,0.4948665297741273,0.50418410041841,0.49948186528497407,478.0
anger,0.357429718875502,0.5493827160493827,0.43309002433090027,162.0
neutral,0.5907643312101911,0.5455882352941176,0.5672782874617737,680.0
accuracy,0.5873533246414603,0.5873533246414603,0.5873533246414603,0.5873533246414603
macro avg,0.4904286591959802,0.5371213221658285,0.5048233576818101,3068.0
weighted avg,0.6328150217103934,0.5873533246414603,0.6031640299750168,3068.0
