,precision,recall,f1-score,support
surprise,0.4551422319474836,0.6322188449848024,0.5292620865139949,329.0
fear,0.20512820512820512,0.43243243243243246,0.2782608695652174,74.0
disgust,0.11971830985915492,0.31875,0.17406143344709898,160.0
happiness,0.9098712446351931,0.5367088607594936,0.6751592356687898,1185.0
sadness,0.3333333333333333,0.14225941422594143,0.19941348973607037,478.0
anger,0.18322981366459629,0.7283950617283951,0.29280397022332505,162.0
neutral,0.549792531120332,0.3897058823529412,0.45611015490533563,680.0
accuracy,0.4491525423728814,0.4491525423728814,0.4491525423728814,0.4491525423728814
macro avg,0.39374509566975696,0.4543529280691438,0.3721530342942617,3068.0
weighted avg,0.5948986702311608,0.4491525423728814,0.48094551859049234,3068.0
