,precision,recall,f1-score,support
surprise,0.5305263157894737,0.7659574468085106,0.6268656716417911,329.0
fear,0.25301204819277107,0.5675675675675675,0.35,74.0
disgust,0.25280898876404495,0.28125,0.26627218934911245,160.0
happiness,0.8947916666666667,0.7248945147679325,0.8009324009324009,1185.0
sadness,0.5642317380352645,0.4686192468619247,0.512,478.0
anger,0.5524861878453039,0.6172839506172839,0.5830903790087464,162.0
neutral,0.6047819971870605,0.6323529411764706,0.6182602444284687,680.0
accuracy,0.636245110821382,0.636245110821382,0.636245110821382,0.636245110821382
macro avg,0.5218055632115122,0.5797036668285271,0.53677441219436,3068.0
weighted avg,0.6729142450985156,0.636245110821382,0.646499628090508,3068.0
