,precision,recall,f1-score,support
surprise,0.3891213389121339,0.5653495440729484,0.46096654275092935,329.0
fear,0.1642512077294686,0.4594594594594595,0.24199288256227758,74.0
disgust,0.1457725947521866,0.3125,0.1988071570576541,160.0
happiness,0.8446601941747572,0.2936708860759494,0.43581715716969316,1185.0
sadness,0.3685064935064935,0.47489539748953974,0.4149908592321755,478.0
anger,0.21813031161473087,0.47530864197530864,0.29902912621359223,162.0
neutral,0.4658573596358118,0.4514705882352941,0.4585511575802838,680.0
accuracy,0.4005867014341591,0.4005867014341591,0.4005867014341591,0.4005867014341591
macro avg,0.3708999286179404,0.43323635961549994,0.35859355465237225,3068.0
weighted avg,0.5517234921973768,0.4005867014341591,0.41604989522951435,3068.0
