,precision,recall,f1-score,support
surprise,0.44868035190615835,0.46504559270516715,0.45671641791044776,329.0
fear,0.116991643454039,0.5675675675675675,0.19399538106235567,74.0
disgust,0.16825396825396827,0.33125,0.2231578947368421,160.0
happiness,0.7725437415881561,0.48438818565400843,0.5954356846473029,1185.0
sadness,0.4332425068119891,0.33263598326359833,0.3763313609467456,478.0
anger,0.16420664206642066,0.5493827160493827,0.2528409090909091,162.0
neutral,0.5286783042394015,0.31176470588235294,0.39222941720629045,680.0
accuracy,0.4178617992177314,0.4178617992177314,0.4178617992177314,0.4178617992177314
macro avg,0.37608530833144754,0.4345763930174395,0.35581529508584187,3068.0
weighted avg,0.5514507259612155,0.4178617992177314,0.4541963920018414,3068.0
