,precision,recall,f1-score,support
surprise,0.7003367003367004,0.6322188449848024,0.6645367412140575,329.0
fear,0.3963963963963964,0.5945945945945946,0.4756756756756757,74.0
disgust,0.37894736842105264,0.45,0.4114285714285714,160.0
happiness,0.8614718614718615,0.8396624472573839,0.8504273504273504,1185.0
sadness,0.6028225806451613,0.6255230125523012,0.6139630390143738,478.0
anger,0.5162790697674419,0.6851851851851852,0.5888594164456233,162.0
neutral,0.6622516556291391,0.5882352941176471,0.6230529595015576,680.0
accuracy,0.6939374185136897,0.6939374185136897,0.6939374185136897,0.6939374185136897
macro avg,0.5883579475239648,0.6307741969559878,0.6039919648153156,3068.0
weighted avg,0.7051295212562448,0.6939374185136897,0.6975108018639268,3068.0
