,precision,recall,f1-score,support
surprise,0.7409470752089137,0.8085106382978723,0.7732558139534884,329.0
fear,0.4090909090909091,0.6081081081081081,0.4891304347826087,74.0
disgust,0.41784037558685444,0.55625,0.4772117962466488,160.0
happiness,0.983370288248337,0.7485232067510549,0.8500239578342118,1185.0
sadness,0.7246653919694073,0.7928870292887029,0.7572427572427572,478.0
anger,0.5733333333333334,0.7962962962962963,0.6666666666666666,162.0
neutral,0.7214673913043478,0.7808823529411765,0.75,680.0
accuracy,0.758148631029987,0.758148631029987,0.758148631029987,0.758148631029987
macro avg,0.6529592521060146,0.7273510902404586,0.6805044895323402,3068.0
weighted avg,0.7940223109951007,0.758148631029987,0.7673373958147501,3068.0
