,precision,recall,f1-score,support
surprise,0.7754491017964071,0.7872340425531915,0.7812971342383107,329.0
fear,0.5806451612903226,0.4864864864864865,0.5294117647058824,74.0
disgust,0.4585987261146497,0.45,0.45425867507886436,160.0
happiness,0.9355742296918768,0.8455696202531645,0.8882978723404256,1185.0
sadness,0.7101167315175098,0.7635983263598326,0.7358870967741935,478.0
anger,0.6614583333333334,0.7839506172839507,0.7175141242937854,162.0
neutral,0.7086720867208672,0.7691176470588236,0.7376586741889986,680.0
accuracy,0.7770534550195567,0.7770534550195567,0.7770534550195567,0.7770534550195567
macro avg,0.6900734814949951,0.69799381999935,0.6920464773743514,3068.0
weighted avg,0.7850752351451366,0.7770534550195567,0.7793796653620726,3068.0
