,precision,recall,f1-score,support
surprise,0.5488069414316703,0.7689969604863222,0.640506329113924,329.0
fear,0.28846153846153844,0.6081081081081081,0.391304347826087,74.0
disgust,0.18766066838046272,0.45625,0.2659380692167577,160.0
happiness,0.9477401129943502,0.5662447257383966,0.7089276281035394,1185.0
sadness,0.5598377281947262,0.5774058577405857,0.568486096807415,478.0
anger,0.44554455445544555,0.5555555555555556,0.4945054945054945,162.0
neutral,0.6145675265553869,0.5955882352941176,0.6049290515309933,680.0
accuracy,0.5909387222946545,0.5909387222946545,0.5909387222946545,0.5909387222946545
macro avg,0.51323129578194,0.589735634703298,0.5249424310148872,3068.0
weighted avg,0.6886205829116288,0.5909387222946545,0.6145731531355595,3068.0
