,precision,recall,f1-score,support
surprise,0.658703071672355,0.5866261398176292,0.6205787781350482,329.0
fear,0.22169811320754718,0.6351351351351351,0.32867132867132864,74.0
disgust,0.23954372623574144,0.39375,0.2978723404255319,160.0
happiness,0.9051918735891648,0.6767932489451477,0.7745050700144858,1185.0
sadness,0.6070686070686071,0.6108786610878661,0.6089676746611054,478.0
anger,0.4608695652173913,0.654320987654321,0.5408163265306123,162.0
neutral,0.5874822190611664,0.6073529411764705,0.5972523499638467,680.0
accuracy,0.6245110821382008,0.6245110821382008,0.6245110821382008,0.6245110821382008
macro avg,0.5257938822931391,0.5949795876880815,0.5383805526288513,3068.0
weighted avg,0.6872313918070557,0.6245110821382008,0.644970850757739,3068.0
