epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,1.9672762788496447,0.193192720413208,0.37478429079055786,0.5404602289199829,2.8837296367015353,0.35524171590805054,0.4888647496700287,0.6453014612197876,0.001
2,1.9372492212577155,0.20527325570583344,0.37411314249038696,0.5353786945343018,1.998411097130265,0.2819119989871979,0.37045085430145264,0.5638239979743958,0.001
3,1.9351653751682343,0.2511984705924988,0.4001917541027069,0.5535954236984253,1.8722049236815628,0.31341663002967834,0.40575775504112244,0.5936990976333618,0.001
4,1.9024357601414477,0.23317353427410126,0.38657718896865845,0.559539794921875,1.9431217210180147,0.21564367413520813,0.35850080847740173,0.5187398195266724,0.001
5,1.88710199906522,0.23921380937099457,0.3996164798736572,0.5808245539665222,1.873406484553116,0.292232483625412,0.41390547156333923,0.6018468141555786,0.001
6,1.8677496460002998,0.21313518285751343,0.3960690200328827,0.5888782143592834,1.8481381552689493,0.08962520211935043,0.3981531858444214,0.6067354679107666,0.001
7,1.8739470920306724,0.20814956724643707,0.3974113166332245,0.5913710594177246,1.8026016354237089,0.14557306468486786,0.3145029842853546,0.6322650909423828,0.001
8,1.8670456625699767,0.20920421183109283,0.41227230429649353,0.6194630861282349,1.8142860460902996,0.30363932251930237,0.48180335760116577,0.6284627914428711,0.001
9,1.8663943597020034,0.22991371154785156,0.4125599265098572,0.616778552532196,1.7750621370360102,0.23954372107982635,0.38891905546188354,0.685496985912323,0.001
10,1.8332475668631945,0.22914668917655945,0.41840842366218567,0.6230105757713318,1.800372399952281,0.18359586596488953,0.41770777106285095,0.6355241537094116,0.001
11,1.822985924558923,0.2572387456893921,0.4472675025463104,0.6311601400375366,1.7840570660792636,0.3226507306098938,0.463878333568573,0.6496469378471375,0.001
12,1.781894405164746,0.3023969233036041,0.47967401146888733,0.6674975752830505,1.74147414325826,0.37533947825431824,0.521455705165863,0.6936447620391846,0.001
13,1.7569743841286474,0.32761266827583313,0.5049856305122375,0.670853316783905,1.7102328939712417,0.29168930649757385,0.5008147954940796,0.6887561082839966,0.001
14,1.7224744784409112,0.3696069121360779,0.5417066216468811,0.6904122829437256,1.652610857806602,0.36882129311561584,0.5415534973144531,0.7142857313156128,0.001
15,1.6763216760220259,0.40316393971443176,0.5630872249603271,0.7166826725006104,1.6642764945317714,0.3449212312698364,0.545898973941803,0.6784356236457825,0.001
16,1.6506474977257382,0.42502397298812866,0.5808245539665222,0.7290508151054382,1.6866968703425365,0.41933730244636536,0.5621944665908813,0.7208039164543152,0.001
17,1.6181080427517256,0.44007670879364014,0.5927133560180664,0.7450622916221619,1.5621978179195017,0.38077130913734436,0.56979900598526,0.7186312079429626,0.001
18,1.5545385192018912,0.45810163021087646,0.6347075700759888,0.7663470506668091,1.5229680475043836,0.4894079267978668,0.6425855755805969,0.7648017406463623,0.001
19,1.4783579464041032,0.4893576204776764,0.6709491610527039,0.7944391369819641,1.4512024080215882,0.48343291878700256,0.6822379231452942,0.8017382025718689,0.001
20,1.399731902856726,0.5189837217330933,0.7066155076026917,0.8189836740493774,1.375814618881729,0.517110288143158,0.6963606476783752,0.81586092710495,0.001
21,1.3247950291016415,0.5307766199111938,0.7228187918663025,0.8377756476402283,1.3715509898568028,0.5154806971549988,0.700162947177887,0.81586092710495,0.001
22,1.2381802718682806,0.5606903433799744,0.750143826007843,0.8547459244728088,1.3499427021423933,0.5540466904640198,0.7191743850708008,0.8365018963813782,0.001
23,1.1360570963711432,0.5841802358627319,0.774113118648529,0.8721956014633179,1.2821872025841543,0.5573058128356934,0.7544812560081482,0.8636610507965088,0.001
24,1.0799792649990532,0.5936720967292786,0.7830297350883484,0.8819750547409058,1.2812683686233617,0.5442694425582886,0.7360130548477173,0.8582292199134827,0.001
25,1.0290531431839998,0.6118887662887573,0.8020133972167969,0.8964525461196899,1.3720861202928438,0.5725149512290955,0.7571972012519836,0.8587723970413208,0.001
26,0.9341147101736937,0.6351869702339172,0.8170661330223083,0.906136155128479,1.2858349364261017,0.5736013054847717,0.7876154184341431,0.8870179057121277,0.001
27,0.8710367426776245,0.6573346257209778,0.841418981552124,0.923010528087616,1.3658726408001134,0.5545898675918579,0.7783812880516052,0.8756110668182373,0.001
28,0.8024854889537778,0.6722914576530457,0.8515819907188416,0.9296261072158813,1.2973855746174427,0.5822922587394714,0.7751222252845764,0.8859315514564514,0.001
29,0.7508609015326715,0.6845637559890747,0.8651006817817688,0.9379674196243286,1.3830767662093926,0.642042338848114,0.8202064037322998,0.9087452292442322,0.0003
30,0.5995238108237203,0.7406519651412964,0.8944391012191772,0.9522531032562256,1.2674946778336016,0.6322650909423828,0.8299837112426758,0.9071156978607178,0.0003
